_->entity.player.death,entity.player.big_fall,entity.player.small_fall,entity.player.hurt,entity.player.splash,entity.player.swim
MUSHROOM_COW->entity.cow.death,entity.generic.big_fall,entity.generic.small_fall,entity.cow.hurt,entity.generic.splash,entity.generic.swim

OCELOT->entity.cat.death,entity.generic.big_fall,entity.generic.small_fall,entity.cat.hurt,entity.generic.splash,entity.generic.swim

PIG->entity.pig.death,entity.generic.big_fall,entity.generic.small_fall,entity.pig.hurt,entity.generic.splash,entity.generic.swim

PIG_ZOMBIE->entity.zombie_pig.death,entity.hostile.big_fall,entity.hostile.small_fall,entity.zombie_pig.hurt,entity.hostile.splash,entity.hostile.swim

POLAR_BEAR->entity.polar_bear.death,entity.generic.big_fall,entity.generic.small_fall,entity.polar_bear.hurt,entity.generic.splash,entity.generic.swim

RABBIT->entity.rabbit.death,entity.generic.big_fall,entity.generic.small_fall,entity.rabbit.hurt,entity.generic.splash,entity.generic.swim

SHEEP->entity.sheep.death,entity.generic.big_fall,entity.generic.small_fall,entity.sheep.hurt,entity.generic.splash,entity.generic.swim

SHULKER->entity.shulker.death,,,entity.shulker.hurt,,

SILVERFISH->entity.silverfish.death,entity.hostile.big_fall,entity.hostile.small_fall,entity.silverfish.hurt,entity.hostile.splash,entity.hostile.swim

SKELETAL_HORSE->entity.skeleton_horse.death,entity.generic.big_fall,entity.generic.small_fall,entity.skeleton_horse.hurt,entity.generic.splash,entity.generic.swim

SKELETON->entity.skeleton.death,entity.hostile.big_fall,entity.hostile.small_fall,entity.skeleton.hurt,entity.hostile.splash,entity.hostile.swim

SLIME->entity.generic.big_fall,entity.generic.small_fall,entity.generic.splash,entity.generic.swim,entity.slime.death,entity.small_slime.death,entity.slime.hurt,entity.small_slime.hurt

SNOWMAN->entity.snowman.death,entity.generic.big_fall,entity.generic.small_fall,entity.snowman.hurt,entity.generic.splash,entity.generic.swim

SPIDER->entity.spider.death,entity.hostile.big_fall,entity.hostile.small_fall,entity.spider.hurt,entity.hostile.splash,entity.hostile.swim

SQUID->entity.squid.death,entity.generic.big_fall,entity.generic.small_fall,entity.squid.hurt,entity.generic.splash,entity.generic.swim

STRAY->entity.stray.death,entity.hostile.big_fall,entity.hostile.small_fall,entity.stray.hurt,entity.hostile.splash,entity.hostile.swim

UNDEAD_HORSE->entity.zombie_horse.death,entity.generic.big_fall,entity.generic.small_fall,entity.zombie_horse.hurt,entity.generic.splash,entity.generic.swim

VEX->entity.vex.death,entity.hostile.big_fall,entity.hostile.small_fall,entity.vex.hurt,entity.hostile.splash,entity.hostile.swim

VILLAGER->entity.villager.death,entity.generic.big_fall,entity.generic.small_fall,entity.villager.hurt,entity.generic.splash,entity.generic.swim

VINDICATOR->entity.vindication_illager.death,entity.hostile.big_fall,entity.hostile.small_fall,entity.vindication_illager.hurt,entity.hostile.splash,entity.hostile.swim

WITCH->entity.witch.death,entity.hostile.big_fall,entity.hostile.small_fall,entity.witch.hurt,entity.hostile.splash,entity.hostile.swim

WITHER->entity.wither.death,,,entity.wither.hurt,entity.hostile.splash,entity.hostile.swim

WITHER_SKELETON->entity.wither_skeleton.death,entity.hostile.big_fall,entity.hostile.small_fall,entity.wither_skeleton.hurt,entity.hostile.splash,entity.hostile.swim

WOLF->entity.wolf.death,entity.generic.big_fall,entity.generic.small_fall,entity.wolf.hurt,entity.generic.splash,entity.generic.swim

ZOMBIE->entity.zombie.death,entity.hostile.big_fall,entity.hostile.small_fall,entity.zombie.hurt,entity.hostile.splash,entity.hostile.swim

ZOMBIE_VILLAGER->entity.zombie_villager.death,entity.hostile.big_fall,entity.hostile.small_fall,entity.zombie_villager.hurt,entity.hostile.splash,entity.hostile.swim
