_->game.player.die,game.player.hurt.fall.big,game.player.hurt.fall.small,game.player.hurt,game.player.swim.splash,game.player.swim
MAGMA_CUBE->game.neutral.hurt.fall.big,game.neutral.hurt.fall.small,game.neutral.swim.splash,game.neutral.swim,mob.slime.big,mob.slime.small,mob.slime.big,mob.slime.small

MULE->mob.horse.donkey.death,game.neutral.hurt.fall.big,game.neutral.hurt.fall.small,mob.horse.donkey.hit,game.neutral.swim.splash,game.neutral.swim

MUSHROOM_COW->mob.cow.hurt,game.neutral.hurt.fall.big,game.neutral.hurt.fall.small,mob.cow.hurt,game.neutral.swim.splash,game.neutral.swim

OCELOT->mob.cat.hitt,game.neutral.hurt.fall.big,game.neutral.hurt.fall.small,mob.cat.hitt,game.neutral.swim.splash,game.neutral.swim

PIG->mob.pig.death,game.neutral.hurt.fall.big,game.neutral.hurt.fall.small,mob.pig.say,game.neutral.swim.splash,game.neutral.swim

PIG_ZOMBIE->mob.zombiepig.zpigdeath,game.hostile.hurt.fall.big,game.hostile.hurt.fall.small,mob.zombiepig.zpighurt,game.hostile.swim.splash,game.hostile.swim

RABBIT->mob.rabbit.death,game.neutral.hurt.fall.big,game.neutral.hurt.fall.small,mob.rabbit.hurt,game.neutral.swim.splash,game.neutral.swim

SHEEP->mob.sheep.say,game.neutral.hurt.fall.big,game.neutral.hurt.fall.small,mob.sheep.say,game.neutral.swim.splash,game.neutral.swim

SILVERFISH->mob.silverfish.kill,game.hostile.hurt.fall.big,game.hostile.hurt.fall.small,mob.silverfish.hit,game.hostile.swim.splash,game.hostile.swim

SKELETAL_HORSE->mob.horse.skeleton.death,game.neutral.hurt.fall.big,game.neutral.hurt.fall.small,mob.horse.skeleton.hit,game.neutral.swim.splash,game.neutral.swim

SKELETON->mob.skeleton.death,game.hostile.hurt.fall.big,game.hostile.hurt.fall.small,mob.skeleton.hurt,game.hostile.swim.splash,game.hostile.swim

SLIME->game.neutral.hurt.fall.big,game.neutral.hurt.fall.small,game.neutral.swim.splash,game.neutral.swim,mob.slime.big,mob.slime.small,mob.slime.big,mob.slime.small

SNOWMAN->,game.neutral.hurt.fall.big,game.neutral.hurt.fall.small,,game.neutral.swim.splash,game.neutral.swim

SPIDER->mob.spider.death,game.hostile.hurt.fall.big,game.hostile.hurt.fall.small,mob.spider.say,game.hostile.swim.splash,game.hostile.swim

SQUID->,game.neutral.hurt.fall.big,game.neutral.hurt.fall.small,,game.neutral.swim.splash,game.neutral.swim

UNDEAD_HORSE->mob.horse.zombie.death,game.neutral.hurt.fall.big,game.neutral.hurt.fall.small,mob.horse.zombie.hit,game.neutral.swim.splash,game.neutral.swim

VILLAGER->mob.villager.death,game.neutral.hurt.fall.big,game.neutral.hurt.fall.small,mob.villager.hit,game.neutral.swim.splash,game.neutral.swim

WITCH->,game.hostile.hurt.fall.big,game.hostile.hurt.fall.small,,game.hostile.swim.splash,game.hostile.swim

WITHER->mob.wither.death,,,mob.wither.hurt,game.hostile.swim.splash,game.hostile.swim

WITHER_SKELETON->mob.skeleton.death,game.hostile.hurt.fall.big,game.hostile.hurt.fall.small,mob.skeleton.hurt,game.hostile.swim.splash,game.hostile.swim

WOLF->mob.wolf.death,game.neutral.hurt.fall.big,game.neutral.hurt.fall.small,mob.wolf.hurt,game.neutral.swim.splash,game.neutral.swim

ZOMBIE->mob.zombie.death,game.hostile.hurt.fall.big,game.hostile.hurt.fall.small,mob.zombie.hurt,game.hostile.swim.splash,game.hostile.swim

ZOMBIE_VILLAGER->mob.zombie.death,game.hostile.hurt.fall.big,game.hostile.hurt.fall.small,mob.zombie.hurt,game.hostile.swim.splash,game.hostile.swim
